Acnt,Name,Throws,Bats,Raw
0000000045,林智勝,R,R,右投右打
0000000121,羅力,R,R,右投右打
0000000128,朱俊祥,R,L,右投左打
0000000132,梁家榮,R,L,右投左打
0000000135,陳禹勳,R,R,右投右打
0000000152,葉家淇,L,L,左投左打
0000000153,林承飛,R,R,右投右打
0000000158,廖健富,R,L,右投左打
0000000159,成晉,R,R,右投右打
0000000343,高孝儀,R,R,右投右打
0000000356,石翔宇,R,R,右投右打
0000000360,吳睿勝,R,L,右投左打
0000000361,張冠廷,R,L,右投左打
0000000362,申皓瑋,R,R,右投右打
0000000363,陳仕朋,L,L,左投左打
0000000364,劉家愷,L,L,左投左打
0000000366,楊晉豪,R,L,右投左打
0000000367,吳世豪,R,R,右投右打
0000000368,游霆崴,R,R,右投右打
0000000743,陳子豪,L,L,左投左打
0000000744,陳家駒,R,L,右投左打
0000000753,杜家明,R,R,右投右打
0000000762,伍鐸,R,R,右投右打
0000000771,陳琥,R,L,右投左打
0000000772,陳文杰,R,L,右投左打
0000000773,李吳永勤,L,L,左投左打
0000000776,王凱程,R,R,右投右打
0000000777,楊達翔,R,R,右投右打
0000000778,蔡齊哲,R,R,右投右打
0000000779,陳柏豪,R,R,右投右打
0000000853,周思齊,L,L,左投左打
0000000908,蘇緯達,R,L,右投左打
0000000910,張進德,R,L,右投左打
0000000929,王威晨,R,L,右投左打
0000000935,王柏融,R,L,右投左打
0000000938,張瑞麟,L,L,左投左打
0000000941,陳冠宇,L,L,左投左打
0000000998,邱浩鈞,R,R,右投右打
0000001005,彭識穎,L,L,左投左打
0000001114,曾陶鎔,R,R,右投右打
0000001118,高國麟,R,R,右投右打
0000001119,許基宏,R,L,右投左打
0000001129,潘志芳,R,L,右投左打
0000001194,楊志龍,R,R,右投右打
0000001217,于森旭,R,L,右投左打
0000001232,江忠城,R,R,右投右打
0000001240,鄭鎧文,R,R,右投右打
0000001258,劉時豪,R,L,右投左打
0000001260,郭俊麟,R,R,右投右打
0000001284,陳品捷,R,L,右投左打
0000001286,馮健庭,R,R,右投右打
0000001291,郭阜林,R,R,右投右打
0000001318,朱育賢,L,L,左投左打
0000001339,林祖傑,R,R,右投右打
0000001390,王躍霖,R,R,右投右打
0000001394,羅國華,R,R,右投右打
0000001404,羅華韋,L,L,左投左打
0000001409,吳東融,R,R,右投右打
0000001412,江少慶,R,R,右投右打
0000001472,森榮鴻,R,R,右投右打
0000001473,李宗賢,R,R,右投右打
0000001474,蘇智傑,R,L,右投左打
0000001515,吳哲源,R,R,右投右打
0000001524,劉昱言,L,L,左投左打
0000001603,王維中,L,L,左投左打
0000001606,林岱安,R,R,右投右打
0000001618,林子偉,R,L,右投左打
0000001719,胡智爲,R,R,右投右打
0000001754,林書逸,R,L,右投左打
0000001756,吳桀睿,R,R,右投右打
0000001804,陳傑憲,R,L,右投左打
0000001821,林子昱,R,R,右投右打
0000002271,黃恩賜,R,L,右投左打
0000002272,賴智垣,R,R,右投右打
0000002274,黃子鵬,R,L,右投左打
0000002275,林安可,L,L,左投左打
0000002276,鄭鈞仁,R,R,右投右打
0000002278,王玉譜,L,L,左投左打
0000002279,吳俊杰,R,R,右投右打
0000002280,廖任磊,R,R,右投右打
0000002281,廖乙忠,R,R,右投右打
0000002282,張閔勛,R,R,右投右打
0000002285,高宇杰,R,R,右投右打
0000002286,林立,R,R,右投右打
0000002289,陳重廷,R,R,右投右打
0000002290,張皓緯,R,R,右投右打
0000002291,岳東華,R,L,右投左打
0000002293,洪瑋漢,L,L,左投左打
0000002297,詹子賢,R,R,右投右打
0000002298,陳重羽,R,R,右投右打
0000002303,黃竣彥,R,R,右投右打
0000002304,吳明鴻,R,R,右投右打
0000002305,王正棠,R,L,右投左打
0000002307,王政順,R,L,右投左打
0000002345,鄭浩均,R,R,右投右打
0000002347,王尉永,R,R,右投右打
0000002348,施子謙,R,R,右投右打
0000002349,王詩聰,R,L,右投左打
0000002350,施冠宇,R,R,右投右打
0000002352,范國宸,R,R,右投右打
0000002589,潘威倫,R,R,右投右打
0000002601,高國慶,R,R,右投右打
0000002661,陳鏞基,R,R,右投右打
0000002679,江承諺,L,L,左投左打
0000002688,陳韻文,R,R,右投右打
0000002695,林子崴,L,L,左投左打
0000002696,江亮緯,R,R,右投右打
0000002707,潘傑楷,R,L,右投左打
0000003078,官大元,R,R,右投右打
0000003144,林益全,R,L,右投左打
0000003174,郭永維,R,R,右投右打
0000003183,張志豪,R,L,右投左打
0000003211,王勝偉,R,R,右投右打
0000003284,唐肇廷,R,L,右投左打
0000003292,賴鴻誠,L,L,左投左打
0000003331,李振昌,R,R,右投右打
0000003334,鄭凱文,R,R,右投右打
0000003337,蔣智賢,R,L,右投左打
0000003338,高國輝,R,R,右投右打
0000003339,林哲瑄,R,R,右投右打
0000003343,郭嚴文,R,L,右投左打
0000003345,林智平,R,R,右投右打
0000003393,王鏡銘,R,R,右投右打
0000003401,傅于剛,R,R,右投右打
0000003465,王溢正,L,L,左投左打
0000003467,林泓育,R,R,右投右打
0000003506,謝榮豪,R,R,右投右打
0000003533,藍寅倫,R,L,右投左打
0000003548,黃鈞聲,R,R,右投右打
0000003563,余德龍,R,R,右投右打
0000003606,陳鴻文,R,R,右投右打
0000003608,曾仁和,R,L,右投左打
0000003609,陳俊秀,R,R,右投右打
0000003615,胡金龍,R,R,右投右打
0000003616,黃偉晟,R,R,右投右打
0000003620,江承峰,R,R,右投右打
0000003625,吉力吉撈．鞏冠,R,R,右投右打
0000003639,呂彥青,L,L,左投左打
0000003645,柯育民,R,R,右投右打
0000003649,吳念庭,R,L,右投左打
0000004032,嚴宏鈞,R,L,右投左打
0000004622,蕭憶銘,R,R,右投右打
0000004624,陳克羿,R,L,右投左打
0000004625,吳俊偉,R,R,右投右打
0000004626,王奕凱,L,L,左投左打
0000004627,張偉聖,R,L,右投左打
0000004628,歐書誠,R,R,右投右打
0000004629,楊彬,R,R,右投右打
0000004632,范柏絜,R,R,右投右打
0000004633,陳晨威,R,L,右投左打
0000004634,邱丹,L,L,左投左打
0000004635,江國謙,R,R,右投右打
0000004636,江坤宇,R,R,右投右打
0000004637,劉軒荅,R,R,右投右打
0000004638,古林睿煬,R,R,右投右打
0000004639,方建德,R,R,右投右打
0000004640,姚雨翔,R,L,右投左打
0000004641,李丞齡,R,R,右投右打
0000004642,林靖凱,R,R,右投右打
0000004643,胡冠俞,R,R,右投右打
0000004645,戴培峰,R,L,右投左打
0000004796,鎛銳,R,R,右投右打
0000005151,羅戈,R,R,右投右打
0000005278,李承風,R,R,右投右打
0000005282,姚杰宏,R,R,右投右打
0000005284,藍愷青,L,L,左投左打
0000005285,許峻暘,R,L,右投左打
0000005291,蔣少宏,R,R,右投右打
0000005292,岳少華,R,L,右投左打
0000005296,董秉軒,R,L,右投左打
0000005298,黃韋盛,R,R,右投右打
0000005306,許哲晏,R,R,右投右打
0000005307,陳韋霖,L,R,左投右打
0000005310,陳真,R,R,右投右打
0000005315,高偉強,R,R,右投右打
0000005333,湯家豪,R,L,右投左打
0000005334,廖柏勳,R,R,右投右打
0000005336,童堉誠,R,L,右投左打
0000005340,王博玄,R,L,右投左打
0000005341,邱辰,L,R,左投右打
0000005342,林志綱,R,L,右投左打
0000005372,呂詠臻,R,R,右投右打
0000005479,江國豪,R,R,右投右打
0000005482,吳承諭,R,L,右投左打
0000005496,辛元旭,R,R,右投右打
0000005508,楊瑞承,R,L,右投左打
0000005509,莊昕諺,R,R,右投右打
0000005510,林澤彬,R,L,右投左打
0000005511,張喜凱,R,R,右投右打
0000005522,羅暐捷,R,L,右投左打
0000005531,邱智呈,L,L,左投左打
0000005532,全浩瑋,R,R,右投右打
0000005533,魏全,R,R,右投右打
0000005536,瑪仕革斯．俄霸律尼,L,L,左投左打
0000005538,黃柏豪,R,L,右投左打
0000005540,李凱威,R,L,右投左打
0000005541,郭郁政,R,R,右投右打
0000005542,張政禹,R,L,右投左打
0000005543,徐若熙,R,R,右投右打
0000005544,曾傳昇,R,L,右投左打
0000005545,劉基鴻,R,R,右投右打
0000005546,拿莫．伊漾,R,R,右投右打
0000005548,林孝程,R,L,右投左打
0000005549,郭天信,R,L,右投左打
0000005550,莊玉彬,R,R,右投右打
0000005552,呂偉晟,R,R,右投右打
0000005553,張祐銘,R,L,右投左打
0000005555,陳冠偉,R,R,右投右打
0000005558,蘇俊璋,R,R,右投右打
0000005561,李建勲,R,R,右投右打
0000005563,姚冠瑋,R,R,右投右打
0000005565,張聖豪,R,L,右投左打
0000005566,黃弘毅,R,R,右投右打
0000005567,林瑞鈞,R,L,右投左打
0000005569,曾頌恩,R,R,右投右打
0000005571,岳政華,L,L,左投左打
0000005572,魏碩成,L,L,左投左打
0000005592,富藍戈,R,R,右投右打
0000005604,勝騎士,R,R,右投右打
0000005656,李聖裕,R,L,右投左打
0000005731,布雷克,R,R,右投右打
0000005788,林凱威,R,R,右投右打
0000005789,林鋅杰,R,R,右投右打
0000005790,張奕,R,R,右投右打
0000005927,戴云真,R,R,右投右打
0000006006,德保拉,L,R,左投右打
0000006056,艾里歐,R,R,右投右打
0000006063,邦力多,L,L,左投左打
0000006127,李其峰,R,R,右投右打
0000006159,林逸達,R,R,右投右打
0000006160,李超,R,R,右投右打
0000006176,余謙,R,R,右投右打
0000006202,蔡鎮宇,R,R,右投右打
0000006206,霸威斯,L,R,左投右打
0000006208,猛威爾,R,R,右投右打
0000006211,張肇元,R,R,右投右打
0000006213,何恆佑,R,L,右投左打
0000006215,趙璟榮,R,L,右投左打
0000006216,王順和,R,R,右投右打
0000006217,林辰勳,R,R,右投右打
0000006219,李嘉祥,R,R,右投右打
0000006220,馬鋼,R,R,右投右打
0000006221,劉貴元,R,L,右投左打
0000006222,劉予承,R,R,右投右打
0000006223,林子豪,R,L,右投左打
0000006224,林吳晉瑋,R,L,右投左打
0000006225,宋晟睿,R,R,右投右打
0000006227,曾峻岳,R,R,右投右打
0000006228,王志煊,L,L,左投左打
0000006229,葉子霆,R,R,右投右打
0000006233,黃兆維,R,R,右投右打
0000006234,邱勝宥,R,R,右投右打
0000006235,林政華,R,L,右投左打
0000006236,楊鈺翔,R,R,右投右打
0000006237,林子崴,L,L,左投左打
0000006240,馬傑森,R,R,右投右打
0000006295,銳力獅,R,R,右投右打
0000006320,恩力	,L,L,左投左打
0000006420,雷法	,R,R,右投右打
0000006430,福來喜,R,R,右投右打
0000006496,布里悍,R,R,右投右打
0000006497,鋼龍,R,R,右投右打
0000006507,豪勁,R,R,右投右打
0000006555,梅賽斯,L,L,左投左打
0000006712,楊孟沅,L,L,左投左打
0000006713,楊竣翔,R,R,右投右打
0000006714,鍾玉成,R,L,右投左打
0000006715,張梓軒,L,L,左投左打
0000006716,張翔,R,R,右投右打
0000006718,毛英傑,R,R,右投右打
0000006720,邱駿威,R,R,右投右打
0000006722,賴知頎,R,L,右投左打
0000006723,張鈞守,R,R,右投右打
0000006724,曹祐齊,R,R,右投右打
0000006725,張祐嘉,L,L,左投左打
